-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,40,-1,-1,-1,-1,-1,-1,-1,-1,39,-1
-1,-1073741779,-1,-1,-1,-1,-1,-1,-1,-1,5,-1
-1,-1073741779,342,340,340,343,-1,-1,-1,-1,5,-1
-1,-1073741779,358,356,356,359,-1,-1,1610613413,1610613429,5,-1
-1,-1073741779,358,-1,-1,359,-1,-1,1610613412,1610613428,5,-1
-1,-1073741779,-1,214,-1,-1,-1,-1,1610613411,1610613427,5,-1
-1,-1073741779,-1,-1,-1,-1,-1,-1,-1,-1,5,-1
-1,-1073741779,-1,-1,-1,-1,-1,-1,-1,-1,5,-1
-1,-1073741779,-1,-1,-1,-1,-1,-1,-1,-1,5,-1
-1,-1073741785,1073741887,1073741887,1073741887,1073741887,1073741887,1073741887,1073741887,1073741887,1073741863,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
